genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Acinetobacter,baumannii,GCA_002947415.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_002947845.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_002948925.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_002996805.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_003006035.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_003010675.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_003029495.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_003431865.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCA_003547115.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCF_000972525.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,blood,USA,2011
Acinetobacter,baumannii,GCF_001441355.1,Susceptible,meropenem,==,0.5,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,blood,USA,2013
Acinetobacter,baumannii,GCF_001441405.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,blood,USA,2013
Acinetobacter,baumannii,GCF_001441415.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,blood,USA,2011
Acinetobacter,baumannii,GCF_001441455.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,sputum,USA,2011
Acinetobacter,baumannii,GCF_001441465.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,sputum,USA,2011
Acinetobacter,baumannii,GCF_001441475.1,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,tissue,USA,2011
Acinetobacter,baumannii,GCF_001441485.1,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,tissue,USA,2011
Acinetobacter,baumannii,GCF_001441545.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,tracheal mucosa,USA,2003-05
Acinetobacter,baumannii,GCF_001441555.1,Susceptible,meropenem,==,2,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,perineum,USA,2003-07
Acinetobacter,baumannii,GCF_001441565.1,Susceptible,meropenem,==,1,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,sterile tissue of foot,USA,2003-10
Acinetobacter,baumannii,GCF_001441625.1,Susceptible,meropenem,==,4,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,tracheal mucosa,USA,2003-05
Acinetobacter,baumannii,GCF_001442575.1,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,25824815,blood,USA,2011
Acinetobacter,baumannii,GCF_001444215.1,Resistant,meropenem,>,16,mg/L,Broth dilution,VITEK 2,CLSI,NA,23812239,leg,USA,2011-07
Acinetobacter,baumannii,GCF_001874685.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCF_001874765.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
Acinetobacter,baumannii,GCF_001874885.1,Resistant,meropenem,>,8,mg/L,Broth dilution,NA,CLSI,NA,NA,NA,NA,NA
